Compound,Temperature,pH,Solvent 1,Base,Chelator,Chelator_amount,Pd_removal_efficiency
Palladium(II) acetate,20,9.96,Ethyl acetate,Potassium carbonate,Thiosalicylic Acid,10,0.982710927
Palladium(II) acetate,20,12.24,Ethyl acetate,Potassium hydroxide,Thiosalicylic Acid,10,0.982710927
Palladium(II) acetate,20,8.92,Methyl isobutyl ketone,Potassium phosphate tribasic,Thiosalicylic Acid,10,0.968905473
Palladium(II) acetate,20,10.57,Methyl isobutyl ketone,Potassium bicarbonate,Thiosalicylic Acid,10,0.982231699
Palladium(II) acetate,20,9.96,Methyl isobutyl ketone,Potassium carbonate,Thiosalicylic Acid,10,0.982231699
Palladium(II) acetate,20,12.24,Methyl isobutyl ketone,Potassium hydroxide,Thiosalicylic Acid,10,0.958599858
Palladium(II) acetate,20,8.92,Cyclopentyl methyl ether,Potassium phosphate tribasic,Thiosalicylic Acid,10,0.982282069
Palladium(II) acetate,20,10.57,Cyclopentyl methyl ether,Potassium bicarbonate,Thiosalicylic Acid,10,0.982282069
Palladium(II) acetate,20,9.96,Cyclopentyl methyl ether,Potassium carbonate,Thiosalicylic Acid,10,0.982282069
Palladium(II) acetate,20,12.24,Cyclopentyl methyl ether,Potassium hydroxide,Thiosalicylic Acid,10,0.982282069
Palladium(II) acetate,20,9.30,2-methyltetrahydrofuran,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,5,0.695858792
Palladium(II) acetate,20,11.13,2-methyltetrahydrofuran,Potassium bicarbonate,Sodium diethyldithiocarbamate,5,0.668873048
Palladium(II) acetate,20,10.39,2-methyltetrahydrofuran,Potassium carbonate,Sodium diethyldithiocarbamate,5,0.693143245
Palladium(II) acetate,20,12.19,2-methyltetrahydrofuran,Potassium hydroxide,Sodium diethyldithiocarbamate,5,0.677698574
Palladium(II) acetate,20,9.30,Toluene,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,5,0.660921502
Palladium(II) acetate,20,11.13,Toluene,Potassium bicarbonate,Sodium diethyldithiocarbamate,5,0.640955631
Palladium(II) acetate,20,10.39,Toluene,Potassium carbonate,Sodium diethyldithiocarbamate,5,0.559044369
Palladium(II) acetate,20,12.19,Toluene,Potassium hydroxide,Sodium diethyldithiocarbamate,5,0.832764505
Palladium(II) acetate,20,9.30,Ethyl acetate,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,5,0.699170124
Palladium(II) acetate,20,11.13,Ethyl acetate,Potassium bicarbonate,Sodium diethyldithiocarbamate,5,0.782157676
